sensor_index,name,latitude,longitude
14835,Thermi,40.5462,23.019308
14999,Vasilika,40.47898,23.136276
15007,Kardia,40.4683,22.994625
30297,Souroti,40.473305,23.091757
30597,Triadi Artemidos,40.54948,23.045502
30599,Fragma Thermis,40.554214,23.041544
30603,Agios Antonios,40.435337,23.092491
30605,Thermi Tavaki 2,40.549004,23.019571
30741,2o Dhmotiko Thermis,40.54569,23.023117
30761,Dimotiko Peristeras,40.549896,23.165886
30827,Vasilika Sinetairismos,40.48232,23.136211
30869,Neo Rysio,40.499928,22.989273
30875,2o Dimotiko Trilofou,40.468044,22.964739
30889,Thermi-Cultural Center,40.548733,23.02302
31123,Dhmotiko Tagaradon,40.487007,23.020798
31125,Livadi,40.52205,23.221579
31139,Plagiari Paidikos Stathmos,40.475136,22.959892
56133,PERAIA - DEYKALION,40.507626,22.933462
56323,KAPPA2000,40.517162,22.948172
101433,Gimnasio Vasilikon (outdoor),40.48179,23.123684
101441,KAPI Trilofoy,40.46822,22.969133
101473,2o GEL MIKRAS (indoor),40.52379,22.99553
101477,2o GEL Mikras (outdoor),40.52373,22.99513
101531,Epektasi Thermis,40.554188,23.011063
101535,Gimnasio Vasilikon (indoor),40.482414,23.124105
101595,1o Gymnasio Thermis (indoor),40.549076,23.014359
